Reference,Qty,Value,Price,Exclude from BOM,Exclude from Board,Footprint,Datasheet
Cap Kit,1,https://www.amazon.com/Capacitor-Assortment-0-5pF-22uF-Electronics-Prototyping/dp/B0F38S1ZXJ/ref=sr_1_4?crid=3FERY8RTD9A1M&dib=eyJ2IjoiMSJ9.85ciPNsZRknaGbIFzP9nvLzF2bIE5VuGlA66UpgmcZz-2oF7YGSFqiNx2j5kipDDMZfGuSyIXAFX0lmAZd7x1RB7PbuEg0RBGsxfYzojJOAnHoMhNhN2onzS-y-hj0Otu4gQv9OS7HRu7WbJ8PMzc2D4rcpGCin5i53xeQ5oYawCzqTEG1o4y6pX0SR0_M9e15Hh13iYI7KispUxYYFisgJ3FPx_YSAKaESWQ4nV8fo.kkSEYCQlFUAFuiWJngq_F0qA75giKaGdmfctfuynu8A&dib_tag=se&keywords=ceramic+smd+0603+capacitor+kit&qid=1775668214&sprefix=ceramic+smd+0603+capacitor+ki%2Caps%2C252&sr=8-4,,,,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,~
Resistor Kit,1,https://www.amazon.com/Resistor-Assortment-Tolerance-Electronics-Prototyping/dp/B0F38XDMM5/ref=pd_bxgy_d_sccl_1/131-5931049-1918728?pd_rd_w=ZQPKJ&content-id=amzn1.sym.9bef5913-5870-4504-8883-3ba89d7f8e39&pf_rd_p=9bef5913-5870-4504-8883-3ba89d7f8e39&pf_rd_r=GVP1HP70JFF68QPRTW1G&pd_rd_wg=hsmnk&pd_rd_r=14782c22-a6b8-4f87-a24e-eda5df3e39bd&pd_rd_i=B0F38XDMM5&psc=1,,,,Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,~
